id	tweet
32	@Crumblybum I've noticed that you are keen on this. A good plan but I don't think there is the slightest chance of it happening. Whether pushed or leaving through 'ill health' or 'his job done', Johnson will be gone within months..
33	@nunyabizniz80 The Democrats are absolutely there to lose. Their job is to "fight the good fight" and lose, and the GOP's job is to convince regular people that lowering everyone's taxes is a good deal for them. It just means you have to come out of pocket for everything like health care, etc.
34	Thanks to Brian Andreas for this good thought as we enter a new year! “Most people don't know there are angels whose only job is to make sure you don't get too comfortable & fall asleep & miss your life. ”.
35	@WalterSobchakSr @philipaklein That’s the city’s job. But it’s also the city’s job to protect those communities that are most at risk — which means mandating the most basic safety guidelines for public spaces. What would you have officials do, foresake those same communities entirely?.
36	@MeepRL_ @Gabledoo @OldMemeArchive No, pop music shifted its target audience to YouTube revenue. Who can put in the most hours? People with no job, that get obsessed easily, and don't yet have artistic standards or taste. (kids) Then radio reflected this, and started playing baby music for adults, who hated it..
37	@StatuesqueFem @KimMangone Biden is just the third term of Obama. So Mr. McConnell is technically still doing the same job is doing in 2009. Good for you Mr. McConnell. Let’s go Brandon!.
38	@SorelliMoran *the nurses and John take her to the surgery room with Greg* J: it’s fine eli it will be over soon.
39	@ShaunLintern As soon as we are “ramping up” capacity to cope with a disease “surge” then we know we are in the realms of fictional politicisation of the matter ?.
40	@HerringAli I haven’t submitted to you yet but this made my blood pressure spike all the same. Hopefully you’ll get responses from a few horrified writers soon!.
41	@timabray When did they take his spine & heart? As soon as he agreed to take the job? This is something..
42	Just been having fun talking to my art friends ^__^♡♡♡ loveeeee chitchatting lol gonna clean room soon though.
43	this is literally my intrusive thought, cause as soon as i think “we outta here”, BOOM. body immediately goes to shambles. .
44	@SatanWantsU2 @cynical_4thborn *As soon as smexi drops to the ground Lucifer grabs cyntan by the tail and swings him full force above his head and throws him into his twin causing them to crash against the wall and then the ground. Before they can make any other move he grabs both of their tails and pulls > > .
45	3) Watch NWH Okay so I'm probably not gonna get to watch nwh bc I'm in quarantine for the rest of the year. But as soon as I'm back home, I'm gonna go see it with friends..
46	Have not made this in a while. One of my fav drinks soon to be ready for new years eve. Woo. .
47	@PoliticMinotaur @BryMullen @ryangrim @sam4soph Yea, people in this thread are acting like being in the halls of congress for 25-40 years and building personal relationships and professional ones with your colleagues is nothing as soon as a "progressive running for prez" in opposition to all that moderation comes along. Its.
48	@ellieliima The big question. I am not sure I see a tour happening soon unless things get better but who knows. Not sure even things like the super bowl fest will go on at this rate 😢.
49	The CDC changed its protocols because they watched MNF and said no way can we have IAN BOOK play this year.
50	REMINDER: PLEASE BOOK VACCINE APPOINTMENTS THROUGH AHS We have been receiving calls to book vaccine appointments, and would like to remind residents that all vaccine booking is done through AHS: AHS is also the resource for any vaccine related inquiries..
51	"Underwater Wild" was my favorite book that I read this year - I highly recommend it. Wonderful story and photography (in the original meaning of the word: full of wonder). .
52	@jofromgreylynn Productive? There's an old book called "Make Ducks Pay" - the bastards shouldn't be allowed to get away with it. .
53	@eklogit Circe is gonna be one of the first I read cuz I’ve had that book since 2018 and I STILL haven’t read it lmao.
54	@clumsyoaf33 I don’t know what it is about Harry Potter that makes me like it , I don’t like movies with magic in or stuff like that but the book just wanted me reading more 😂 that’s good all is well.
55	I designed this new book scented candle for fun. I just wanted to get my work published more so every day I'm going to try and post something. -T .
56	Looking forward to a fun night in. Why not stay home tonight and free up places for the kids in their 20s and 30s to get out and enjoy - such a tough time for them having been stuck home so much during Lockdown. 🙏🏻.
57	@FCBarcelona Stop addressing Araujo as a teen ffs😭 he's a man he literally has a wife and planning kids.
58	I listen to the questions the therapists at work ask my kids and they're so fucking remedial. Like how tf you get paid so much more than me to not even come into work, have 5 minute phone call sessions with the kids, meanwhile I'm here for 12+ hours and I'm hustling..
59	Hello from Saguaro High School in Arizona! Oklahoma State stuffing backpacks with school supplies and gifts for local kids. This thing is awesome. And intense. @CowboyFB #OKState .
60	I think they are playing cat and mouse with the teachers. I don’t believe for a second that kids will actually go back on Wednesday #onpoli .
61	Lastly, are you going to direct that kids with symptoms will be send home? Until now , my son said there were many visibly sick kids in his classes and nobody did nothing. So, what is the plan for parents like me and our kids?.
62	I also didn't have to have numerous convos with my kids in 2020 where they kept asking why none of the grown-ups seemed to care even the slightest bit about protecting them at school (bc they were online in 2020), but I had them a LOT in 2021, so there's also that..
63	@AyoCaesar High these are six of my favourite. @AlannaMaxBooks Zeki and Lulu books are especially good for toddlers and pre-schoolers. Mr Hoot stars a boy from a mixed race family. Siba and Saba perhaps suited to slightly older kids, but counting element likely to appeal to toddlers. .
64	@maritstiles No one asked about kids eating in classrooms and hallways. The most dangerous activity in schools..
65	UK is in a bad place. Conservatives and the opposition (Lab and/or Lib Dems) are considered by many as 2 sides of same coin. This leaves big space for ultra right and fascism. Huge increase in raw intolerance by those who feel disenfranchised by both sides! Democracy threatened!.
66	@TheLostGlitches For everyone all the best. May you all find your place within crypto and Nft land. Happy new year!.
67	@GenealogyOfAdam This is a nice sentiment. But it actually denies the reality of how these parishes and churches were established in the first place. They were established by small emigrant communities in search for a better life, so they can help the families back home and not by.
68	Seeing all this Shaw talk. I’m not gassing any of these mugs. Next week they’ll go and stink out the place and then what ?.
69	@pab1990 I know we’re getting to an odd age but stuff falls into place as it should. Everyone’s path there is different though. I feel like an idiot for getting stuck in a job I hate for 13 years..
70	Agreed. We will be in a much healthier place holistically than we were 10-15 years ago, if our teammates would read first and implement rather than criticize. Fortunately, many are and it’s apparent given their improved readiness. @USACIMT @TRADOC @JRTCandFortPolk @16thSMA .
71	I made you my happy place and now we are fading away and I’m trying to find a different outlet cs you were mine.
72	better damage better place on teams better ki wise goated tank much more needed as lead with a goated ls.
73	Today, #Blockchain gaming is again helping people earn at home without going out of their house thru automation, e-commerce, and #decentralized finance. See updates at This is automatically posted. .
74	@androprepe @Telegraph I would not know mate.. Perhaps ask one.. anything else is subjective.. What's the mantra.. Ah yes.. ...poor knowledge plus good logic equals a worse theory than greater knowledge plus same logic! Kinda obvious don't you think. The ancient Greeks had far too much free time ).
75	@Bloodartist_SWL You reserve those words for things worth saying, Elias. Or, finding a better way to express such things. And, I would love to meet with you again. To put those broad shoulders of yours to use? Even better, I think..
76	rlly annoys me when ppl think being gay is a trend n quirky n cute. we literally cannot help who we r n no one, unless ur gay, will understand how scary and daunting coming out to ur family rlly is. its not something that u can help n it’s not a trend..
77	That’s through low wages and continued control of access to healthcare during a global pandemic. More than ever, I think people need to explore the easiest and most accessible paths to independent labor that they can find…everybody #BlackBurnout.
78	Father, I think, is a profoundly insecure person, at his core. With some, I recall him as passive, and dormat-like. With others, I recall him as abusive and controlling, not respecting boundaries..
79	what do we think college mj’s clothes are gonna be like bc i can’t imagine them still dressing her the exact same.
80	@ShaunTobikosan I don’t think optimal health can be any one thing. It’s a nothing-ism. To me, health is mix of absence of healthy issues, achieving the best version of yourself possible in the least amount of time possible. Optimal is finding the right mix of these three for yourself..
81	@ApianChasity @MelpomeneMel @fitterhappierAJ I think hoidy people are just too quick to say it was luck, when really most people can figure out how gravity works for example. And it's convenient if elites can push down those lower to get them to behave. It's about control not true knowledge or science..
82	@lucaslameiras Sim! There have been a couple more unicorns over the past couple weeks so I think that figure is already outdated haha.
83	@jaredfarmer1987 I thought Heupel was the QB guru….I think now that we’ve found our QB1 a real off-season can do wonders for a guy like him.
84	Progress, population are is not linear. I can't back it up with hard data but I think chances of India still being a poor developing country in 2040 is massively greater than it being a superpower because of rapid brain drain. It'll be less populated though..
85	So I think the overall opinions about Kirk aren’t that divisive. The actual subject of the debate is, if this is good enough to go all the way and I‘ll share my thoughts about this later in this thread..
86	@michaelbewley @robmarkcole @ChelleGentemann By using a timeseries or other supporting features as inputs, perhaps. Humans are good at seeing visual patterns in an image, computers are good at seeing patterns across multiple dimensions. But I think your point is valid! But "just train a model, duh" was reductive..
87	@7FigSaykho Adding these to my list too! For self development . I’d recommend, can’t hurt me & think like a monk. For business - 7 habits of highly effective people & radical candor by Kim Scott ..
88	The first point, and I really want to emphasize this: I don’t hate Kirk Cousins and I don’t think he’s a bad QB. I think this is actually true for most people who get the label „Cousins Hater“..
89	@penpowersword I don't remember. I think I was in gyoshite because I distinctly remember other kids getting Zeus no chuusai and uragiri no Crete.
90	I think earl grey and cookies and cream is a lovely combo but if I was trying to be aesthetic I’d choose lavender.
91	i also think it’s hilarious when a girl hates you over a boy while she has a boyfriend like what you like him too 😭.
92	@andy_spoo @SarcasmStardust One think I think one can say about progressives with 100% certainty: If you are anti-communist, you can claim to be a progressive--but you cannot be. It is a contradiction..
93	I am glad the holiday is coming. It is a time to think analyze what worked, what didn't, and also a time to do nothing: rest, spend time with family, enjoy meals, but also reflect upon what we are looking to ourselves for the next year. 🤭😅 #rest #peace #babymelodyoficial .
94	@Thewarning9 I think this message is sent for "me". Indeed, i'm starting to wish death & hell to all those who serve sata$ and now tries to prevent us from having access to hospitals and to supermarkets to feed us & our families..
95	Head of the military, what a title. He didn’t think he’d get to see this title until Ryuunosuke is king. But now— Osamu always wanted to become head of the military. But he wanted to be head of the military under /Ryuunosuke’s/ rule, not in Ryuunosuke’s /stead/..
96	@BruceHannay Of course, it is to be expected as no one listens to a man who's broken many Covid rules himself. Think what you want about Scot Gov, I do believe they are setting a good example and I'm sure there are paparazzi just waiting to catch them in the company of more than 3 households!.
97	@QIU0FFICI4L // i see so you are bad at receiving affection, you probably bite people who try to hug you for the fun of it. you are hesitant to get close to people because you are fixated with presenting yourself as flawless, probably someone made you think of yourself as flawed in the past?.
98	I am Stuck in This Shed In the Middle of Pouring Rain and my coach Just Pushed back practice for another 45 Minutes.
99	@crackbbyblues sobbing in my cup of coffee tangerine dreams sun stare wearing our jewels in the swimming pool i’m in the wind, i’m in the water (nobody’s son, nobody’s daughter) but their stories all end tragically the best ones lost their minds calling out my name in the summer rain.
100	California hospital left bodies of dead COVID-19 patients outside via @MailOnline LA hospital sparks outrage after DUMPING bodies of 19 dead COVID patients outside in the rain for HOURS before security finally moved them into refrigerated morgue.
101	I still need to post all my photos of england, and get my mom's photis but i haven't really seen my mom since getting home 😕.
102	two days ago told my dad i was getting my mom a cat and he said “no way you aren’t” and guess who’s looking at kittens with me now.
103	nothing is funnier 2 me than my parents switching so my mom can drive and my dad immediately putting on trap music.
104	My teenager is driving over to my mom's to take her garbage to the street. I cautioned him to drive defensively and carefully and take a specific less-traveled route and bring a mask in case you need to interact with anyone. #NoRoomAtTheHospital .
105	@eslemefekeste1 its like this for long as i can remember tbh my dad is a psycho and fucking mental but i love him and i know my mom does too but sometimes even a little thing is not like how he wants it to be and he is immediatelly mad like a psycho... i have a anxiety bc if him like ???.
106	@oldmaxhall But Zach can’t throw and he leaves the pocket too soon and he never beat Utah and his mom is somewhat crazy and he wasn’t a captain and he had a cupcake schedule at BYU and only beat two P5 schools.
107	@wytewzrdz I’d demand an apology and lots of money for putting me through that kind of trauma. One day you’re working the next you’re not. Then they change their mind again.. Stop tormenting nurses..
108	@BNYMellon Shady ethics. They will do anything in their power to keep your money and never let you have it back..
109	@MYLESGINVEST Myles you been saying this stop misleading the people tell them the truth IV been saying sell since .31 after 30 days up it always drops but you mislead people money must be good to mislead them.
110	U.S. Government Accountability Office identifies trade, real estate and cryptocurrency as transnational money-laundering conduits, Hong Kong fines futures-trading firm for AML lapses, and more, in the weekly roundup. ($).
111	"Once the ruse was exposed, a criminal court ruled that the lease extension deal had to be canceled because it was put together illegally, and the KKL set about trying to get its money back from the church"... Incomprehensible....
112	Bank of America, Merrill Lynch, and US Trust customers, you can get FREE museum admissions -- plus zoos and more! Learn more > > @BankofAmerica #free .
113	@itsmeerkat1 @jeremyfprice i have no idea about any of those things, just the wild fuckin stories my housemate told me and the trauma it did them -- plus weird shit like their parents weeping as they washed a poor person's feet in south America -- worshipping (fetishizing) suffering as holy.
114	too that could possibly financially support me along with writing. Cybersecurity and ethical hacking which I got to explore because of my diploma ( and project ) this year were nowhere in the picture then. It took a while but I found my way🙏 4/.
115	Corporate media systems have been a nightmare for many, many, many decades. Local newspapers are under pressure as they are bought up by venture capitalists, etc. The irony here? NYT is a key player when it comes to media support for fossil capitalism. .
116	I would like to thank my friend for always be there when I need help, my family when I need some support, and lastly to a dragon named Kiryu Coco who reminded me of my dream. I will do my best in 2022..
117	@SoozUK She looks like the kind of woman who would unplug your life support machine to charge her I phone..
118	Oh fucking fabulous. The fireworks war between our neighbours and some others down the valley has begun. I hate holidays..
119	Former minister Filsan Abdi (@1_filsan) exposed Ethiopian and Eritrean soldiers raping women in the #TigrayGenocide, & "her "colleagues in the ministry referred to her as a 'protector of Tigrayans'" showcasing their ethnic-based hate. #KnowMore @earadiofm .
120	So those ideas of a civil war, should it happen... know that you will be the first that I personally hang, because it will not be me that placed the noose around your neck. It will be your audience screeching for your head. They will want your blood and I will give it to them..
121	Atlantic Council propagandist denying all of Ukraine's socio-economic problems to launch into a war that Ukraine will not win by any means even a million years. Fresh evidence that NATO does not give a single flying f*ck about Ukraine or its people: .
122	The year of 2021 is coming to an end,In that wide universe,the Earth is a blue dot,but humans are still at war,where are they? .
123	@HiddenYorkshire Well the game is called Total War, not Total Society… it’s a battle simulator. You can’t really accuse it of not doing what it says on the tin?.
124	@WR4NYGov Wow. Well first off that's calling for a civil war. Second off retweeting Taylor greene is just ewwww..
125	@SonjaCowling Ditto.Compassion, kindness holistic training medics/ HCW nutrition, vitamins, trace elements & health, exercise.Deeper understanding trauma, relationships, context. Outdoors- quiet time to support healing, absorb peacefulness, beauty of nature. to help rest, & calm troubled minds.
126	When counting your wins of 2021 Count that of stable mental health Many lost their mental health Mental health> > > > > .
127	Wishing my twitter friends and relatives a very Happy New Year with tons of happiness & health .
128	@ElinorDear Happy New Year, dear, Elinor! forget all the bad things that happened in the past year! May your life be more pleasant in the New Year! I wish you and your family health! I wish you luck in all your endeavors! I will support them, be sure .
129	No paywall on the article if you want to read it. Conservatively using the 1 year later “significantly” worsening health numbers, 135 million people in the US alone will never fully recover from the “everyone will get it eventually” plan. Depending on the breaks. .
130	@ZubyMusic Mate I have noticed exactly the same. Especially when it comes to women. There's always BLM and there's always mental health stuff. You forgot one: cat mom.
131	2022 is approaching is at full speed! Have you made a resolution that’s kind to yourself and your mental health? @crazyheadcomics has some lovely inspiration for resolutions that support you rather than minimise you 🧡 .
132	Travelers infected one another across hallway in Covid-19 quarantine facility, New Zealand research shows - CNN .
133	@kaimanta @OficialEdesur Imam Al-Mahdi will lead the muslims in World War 3 and conquer the superpowers that exist today. Muhammad Qasim's dreams indicate that the time of Imam Al-Mahdi is not far now. .
134	“my birthday wish is to unite the world and to end the huge physical and spiritual war going on, let us all agree to disagree”.
135	@JuliScellato @Edenor Imam Al-Mahdi will lead the muslims in World War 3 and conquer the superpowers that exist today. Muhammad Qasim's dreams indicate that the time of Imam Al-Mahdi is not far now. .
136	@pobustam Imam Al-Mahdi will lead the muslims in World War 3 and conquer the superpowers that exist today. Muhammad Qasim's dreams indicate that the time of Imam Al-Mahdi is not far now. .
137	the elites of places like North Korea and ancient Sparta uses the farce of a forever ending war to justified such complete control. .
138	that yemen war is really annoying but there is only so much i can do i have done something i hope it will be enough.
139	Mark McGowan reveals he backs Scott Morrison’s new close contacts definition and rapid antigen tests on way - Sumary of Mark McGowan reveals he backs Scott Morrison’s new close contacts definition and rapid antigen tests on way: Min cost $... - .
140	[SDG- Values Impact 2022] Thank you all my investor, customer, supplier and my friends and volunteer. I wish all of you happy new year 2022. With good health and wealth. Happiness and enjoyable new year 2022! Don't forget to support my charity. ) Thank you! .
141	#unicorn_beacon Entropy for beacon n° 78458 is: "The agile spotted dog hopped around the indifferent dingo and yelped: howl, boof!".
142	For 13 year we’ve insured our dog with @AFPetInsurance. This week we submitted our first ever claim for vets fees and it was approved and paid out within 24 hours. Over Christmas too. Thank you! That’s what insurance should be..
143	@bonnie_langford It’s a bloody dog do we go in there kennels to eat no !!! Keep dogs out of caffès guide dogs only that it they cannot be refused get a life !!.
144	@indiantweeter Broken roads within city limits Defunct civic bodies Dog and stray cattle menace Non existent police Highly improved power situation.
145	Here's my art summary of 2021. I've posted a total of 30 artworks!!! I never thought I would be able to draw this much considering my work and studies, but I'm proud I could do that much :3 Gonna keep the rythm up for 2022 and improve even further!😁 #Artsummary2021 .
146	@PeterHotez Dr Hotez, ur a true professional in this mess. Thank u for ur work on vaccines and ur clear Information on news programs . The idea of offering ur new non-mRNA vaccine to the hesitant seems worthwhile!.
147	@P_uneet20 Didn't eventually work, Inter's ultras put up a banner, basically telling him to never return..
148	Not reporting anymore horrific shootings come 2022.People will be people, and there's nothing i can do about it,but hopefully i can do something about myself and friends to relieve stress.A friend here talked about suicide which disturbed me immensely.We must work on stress.
149	Just trying out @GitHubCopilot for the first time in #fsharp. Whilst the larger demos that everyone sees in other languages don't work (suggestions are for other languages), I'm surprised how good it is for small things like printfn statements and the like..
150	2022 Goals - Work on Comics more - Start working out - Get 1k Follows - Join more projects I might never complete any of these, but hey it doesn't hurt to try xD.
151	gm frens, last day of the year, this year was just insane, im gonna work even more in 2022 because i have so many plans, i hope you all enjoy today 🍻.
152	So glad Adobe updated so I need to convert all the videos to work with the 2022 version which means I have to rerender the two hour video I was editing again to work on it 😔. Every day I wonder why I pay Adobe for premiere when davinci resolve is right there..
153	@SGaibrie Well that pretty much says the quiet part out loud that it really is only employers that matter. Sickness and death for the economy. And, as always, the privileged have other options and can limit their exposure. Doug Ford hasn't been to work for weeks. He has privilege..
154	Fabric : Georgette Work: print with fancy latkan Inner: silk Size : up to 42 size Full stich Flair : 5 meters Pant Fabric : Georgette Inner : crepe Size: Upto 44 full Stich with elastic Dupata- No Dm for price Shop now & Follow @TheDesiDarzee . #desidarzee #bandhani .
155	"In this work, 'winners / losers' is the keyword, but honestly, I feel disgusted when it comes to labeling people as winners and losers. It is used in the world of sports... but when you think about life, what are the criteria for winning or losing?" .
156	@EastMidRailway Excellent news, glad the running data is accurate. that saves me having to give someone a lift after work..
157	@brumbitcoin that's weird. estonia has been positioning itself to embrace the digital revolution / internet / remote work / startups, etc. and then they do this which they will either reverse soon or come to regret.
158	@citizentvkenya Comments here never went to boarding school clearly. Ati parameters, sijui variables. Nkt. Counsellors & h/teachersexist therein . They know. Also kids nowadays flaunt their sexuality in public. You don't need an expert to point out Tomboys and femboys from a lineup #Hypocrites.
159	@mrfantasyfootay No. And yet, I'll keep pushing. I reckon we owe it to each other and to our kids to not give up..
160	baby how you doing i know youre not doing the best but im here i'll always be here .
161	@LizzieMarvelly I hear you. Felt that way with my January baby too. Sounds counter intuitive but the best thing I did wasn't walking, curries etc...but finding ways to relax e.g. a bath, listening to music, something that could set me up for a reasonable sleep. Thinking of you x.
162	@stephen72916029 Please let's help this little girl She got a cancer we need some help please everyone let's join our hands together and we help this little baby may God bless you +256758785135 that's is my WhatsApp number .
163	Just saw a billboard for a park that offers fresh orange juice and the opportunity to see live baby alligators I'm in Florida alright.
164	Oh Baby wont you let me know, this heart break is for oh so long. Oh baby I gotta let ya go, I guess I’m not stuck on you..
165	Aint nobody tell yall ass to get them dirty hos pregnant aint no niggas seemin no way her baby daddy tho anyway!!!!!!!!!!!!!!!!!!.
166	Now they are saying 7 inches of snow, please baby Jesus let it be 2 feet because I’m not leaving the house..
167	@babyb0nes_ Sad to hear what happened with your byed of phone, i wish you can get a new phone, with out paying. There may bee a law way you can use. Good Vibes @baby_b0nes.
168	@ClinicalBitch ever since i got him he’s stuck in my armpit to sleep !!! 4 years later n he’s still a baby!!!.
169	this is a baby who thinks only of murder. be not fooled this was the FIRST time she ever was in my presence without trying to maul me with her little two pound body. her internal monologue is nothing but “attacka and killa you with my tongue” on loop. she is rage personified. .
170	it’s 2022!!!! y’all know what that means???? time to start shopping for baby girl. time is tickinggggg.
171	@HollyBDiaz Okay, I'm going to start doing this because actually drinking my coffee sounds amazing. 🤣.
172	Drink too much coffee and think of you often, In a city where reality has long been forgotten. Are you afraid? 'Cause I'm terrified, but you remind me that it's such a wonderful thing to love..
173	Roy Mustang has a new song called 'hard locations'. It's about their experience with some sexual cuties..
174	We go back to school tomorrow and I officially open my very own special education classroom. I’ve worked so hard for this and I’m so happy. 🤍.
175	YES absolutely, there is a contingent of lazy good for nothing workers in the NHS that will scam the system at any chance they get, this is so unfair to the honest hard working employees who regularly put themselves out to pick up the slack caused by the scum. .
176	@YesItsM97576245 @vwheato I've always believed Autism is the next step in our evolution. I think these people use both sides of their brain and it's hard for some of them to unscramble all that knowledge..
177	I get too distracted when I try to read books on any device so it’s either hard cover or it’s not getting read 😭 .
178	@angelknivesflm as hard as it is, i think the best thing about being in your twenties is that you finally get to know and learn to love yourself 🤍.
179	@minor_mishap you’re on edge this year. past pain has made it hard for you to trust again and that’s okay, that’s something you’ll have to work on this year. give yourself grace this year in love, and don’t feel pressured to hop up and be ready for love immediately. .
180	Same thing happens on men's day. Instead of these children to celebrate and hype their day, they sit and sew threads faulting women for not once again doing what they, the men should be doing. Women work hard to hype women's day but they want us to also work to hype their day too.
181	As our general helped the oppressed Iraqi people in hard days, and never left them alone in the fight against ISIS, Abu Mahdi-al-Mohandas too, in hard days, stayed with his Iranian brothers, without expecting to get anything from them. #Hero .
182	@ZG1999_ chelsea have WON virtually everything there is in domestic as well as continental soccer is this club still a small club? hard to fathom! the club world cup will be ours too and the trophy cabinet would be filled to OVERFLOWING!.
183	@Chris94206876 Thank you for all that you do and appreciate the hard work that being a vet nurse takes (mentally and physically). Would love to DM if you are open to that..
184	Harris Gorp, the Eurovision Minister has just told me that they voted against the government tonight. Hard to see how Boris Johnson can carry on..
185	People don’t realize how hard it is to be a pet parent. You have to constantly protect them from the evils of this world- like the vacuum..
186	Are you sure you’re going to fulfil your new years resolutions? 🤷 If not, it's probably because you're being too hard on yourself. Most resolutions are extreme & impossible. In this thread I’ll share popular resolutions and super low-barrier first steps towards these goals!.
187	@AEGRO_84 I've put in over 100 hours already so basically more time then every ps exclusive combined AND I still haven't started the campaign because Multiplayer is so damn good..
188	@wildflower_hour 51 more splendid #WildflowerHour ‘Sunday slots’… with wonderful wildflower hours, minutes and seconds in between! Thank you being there, connecting us all.💚.
189	@itsdestinyrenee I’ve not realized I had jalapeño juice on my arm from chopping them up hours prior. And gotten it in my nose and eye 🙃.
190	i won't be able to watch the mv when it drops i might have to wait like 5 hours before i can this is horrible.
191	i was honestly scared of pricing the standee higher but no!! i spent like 12 hours on the standee alone!! and i have very terrible dimension conception so its going to be fucking huge!! its worth $60 or bite my ass > :V.
192	Missed out on @TheClubDiscord challenge last year and i want to practice more rock sculpting. Heres day 1 of #TheClubsRockingNewYear challenge! Done in 2 hours. .
193	@NinaColasurdo1 I started knitting again in 2004, after letting decades go by since I'd knitted as a Girl Scout in the 1950s. I joined a weekly knitting group and hardly missed a meeting until my cat got sick in 2016. I didn't want to leave him at night, even for a couple of hours..
194	The same repetitive shite for hours: Fans at the darts might create a carnival atmosphere but get some new songs!!.
195	@3ventHorizon_ Man, I was thinking even 30 minutes tends to be on the long side (not that I mind if it goes that long), but TWO HOURS?! TWO. HOURS?! TWO FUCKING HOURS?!.
196	@Princess__Vi amateur?!🤕 I'll get to 16 hours one day, I don't know if it'll be this year but definitely one day aha.
197	@TomerStrolight Monday thru Friday 9-5, excluding holidays is their FUD hours. No in person FUDding avalible at this time..
