,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
36,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
37,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
38,41-50,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
39,18-25,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
40,31-40,Male,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
41,26-30,Female,Bachelor's degree,Self-employed,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
42,31-40,Female,Master's degree,A homemaker,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
43,26-30,Male,"8th Up to 12th grade, no diploma",Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
44,26-30,Female,High school graduate with diploma,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
45,31-40,Female,Master's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
46,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
47,26-30,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
48,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,5.0
49,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
50,51-60,Male,Bachelor's degree,Self-employed,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
51,26-30,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Somewhat concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
52,26-30,Female,Associate degree,Employee,Agree,Agree,Agree,Agree,Strongly agree,Very concerned,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
53,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,1.0
54,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
55,41-50,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
56,31-40,Male,Bachelor's degree,Self-employed,Disagree,Strongly agree,Agree,Disagree,Agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
57,41-50,Female,Bachelor's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
58,41-50,Male,High school graduate with diploma,Employee,Agree,Agree,Disagree,Agree,Disagree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
59,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
60,31-40,Male,Master's degree,Employee,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly Disagree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
61,26-30,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
62,31-40,Female,"8th Up to 12th grade, no diploma",Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
63,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
64,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,5.0
65,51-60,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,1.0
66,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
67,18-25,Male,Bachelor's degree,Employee,Agree,Agree,Disagree,Disagree,Disagree,Somewhat concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
68,18-25,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
69,18-25,Male,High school graduate with diploma,Self-employed,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,5.0
70,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
71,26-30,Male,Bachelor's degree,Employee,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,A little concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
72,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Disagree,Somewhat concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
73,26-30,Female,High school graduate with diploma,Employee,Strongly agree,Agree,Agree,Agree,Agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
74,41-50,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,2.0
75,18-25,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
76,18-25,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,5.0
77,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
78,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
79,31-40,Female,Master's degree,Employee,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
80,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
81,41-50,Female,Master's degree,Employee,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
82,18-25,Female,Bachelor's degree,Out of work but not currently looking for work,Agree,Disagree,Agree,Agree,Agree,Somewhat concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,1.0
83,18-25,Female,Bachelor's degree,Employee,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Disagree,Very concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
84,51-60,Female,High school graduate with diploma,Employee,Agree,Agree,Neither agree nor disagree,Agree,Disagree,A little concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
85,18-25,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
86,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
87,26-30,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
88,41-50,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
89,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
90,41-50,Male,High school graduate with diploma,Employee,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Somewhat concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,1.0
91,26-30,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
92,18-25,Female,Master's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
93,31-40,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
94,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
95,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A little concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
96,41-50,Female,Bachelor's degree,Employee,Strongly agree,Disagree,Disagree,Agree,Agree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
97,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Agree,Agree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
98,31-40,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,1.0
99,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,5.0
100,31-40,Male,High school graduate with diploma,Employee,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
101,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
102,51-60,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
103,31-40,Female,High school graduate with diploma,Employee,Strongly agree,Agree,Disagree,Disagree,Disagree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
104,51-60,Male,Associate degree,Employee,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
105,31-40,Male,Master's degree,Employee,Agree,Agree,Agree,Agree,Disagree,Very concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
106,18-25,Male,High school graduate with diploma,Employee,Agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Not at all concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
107,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
108,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
109,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
110,26-30,Male,"8th Up to 12th grade, no diploma",Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
111,18-25,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
112,26-30,Male,Master's degree,Self-employed,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Very concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
113,26-30,Male,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
114,26-30,Male,High school graduate with diploma,Employee,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,5.0
115,26-30,Female,High school graduate with diploma,Employee,Agree,Disagree,Agree,Neither agree nor disagree,Agree,A little concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
